Fiscal Year,Fiscal Quarter,Fiscal Month,Email Program Name,Sent,Bounced,Delivered,Delivered%,Opens,Open Rate%,Clicks,CTR%,Link Clicks,Marketing Play,Play Num,Solution Area,Solution Area Num,Marketing Play Product,Product Num,Row#
FY22,FY22-Q2,12/1/2021 0:00,,"78,910",298,"78,612",99.62%,"16,780",21.35%,"3,685",4.69%,"4,090",Innovate with AI,1,Data and AI,2,Azure,1,5316
FY22,FY22-Q2,12/1/2021 0:00,,"96,433",59,"96,374",99.94%,"19,606",20.34%,"1,592",1.65%,"2,130",Win with Analytics,2,Data and AI,2,Azure,1,5111
FY22,FY22-Q2,12/1/2021 0:00,,"44,861",87,"44,774",99.81%,"8,336",18.62%,369,0.82%,527,Azure Migration and Modernization,3,Infrastructure,5,Azure,1,4377
FY22,FY22-Q2,12/1/2021 0:00,,"107,288",137,"107,151",99.87%,"23,123",21.58%,"1,036",0.97%,"1,349",Azure Migration and Modernization,3,Infrastructure,5,Azure,1,4376
FY22,FY22-Q2,12/1/2021 0:00,,"43,875",23,"43,852",99.95%,"8,633",19.69%,873,1.99%,"1,289",Azure Migration and Modernization,3,Infrastructure,5,Azure,1,4375
FY22,FY22-Q2,12/1/2021 0:00,,"116,780",628,"116,152",99.46%,"23,214",19.99%,"4,047",3.48%,"4,498",Developer Engagement,4,Digital and Application Innovation,3,Azure,1,3610
FY22,FY22-Q2,12/1/2021 0:00,,"24,338",20,"24,318",99.92%,"4,189",17.23%,290,1.19%,381,Build a Resilient Supply Chain,5,Business Applications,1,Dynamics 365,2,3481
FY22,FY22-Q2,12/1/2021 0:00,,"11,119",2,"11,117",99.98%,"4,306",38.73%,358,3.22%,488,Education,6,Digital Transformation and Industry,4,Education,3,3383
FY22,FY22-Q2,12/1/2021 0:00,,"5,525",2,"5,523",99.96%,"1,313",23.77%,81,1.47%,133,Education,6,Digital Transformation and Industry,4,Education,3,3382
FY22,FY22-Q2,12/1/2021 0:00,,"3,810",3,"3,807",99.92%,"1,228",32.26%,56,1.47%,70,Education,6,Digital Transformation and Industry,4,Education,3,3381
FY22,FY22-Q2,12/1/2021 0:00,,"12,306",51,"12,255",99.59%,"3,812",31.11%,143,1.17%,219,Education,6,Digital Transformation and Industry,4,Education,3,3380
FY22,FY22-Q2,12/1/2021 0:00,,"13,715",3,"13,712",99.98%,"4,478",32.66%,365,2.66%,498,Education,6,Digital Transformation and Industry,4,Education,3,3379
FY22,FY22-Q2,12/1/2021 0:00,,"4,943",3,"4,940",99.94%,"1,478",29.92%,130,2.63%,162,Education,6,Digital Transformation and Industry,4,Education,3,3378
FY22,FY22-Q2,12/1/2021 0:00,,"18,854",83,"18,771",99.56%,"5,120",27.28%,294,1.57%,360,Employee Experience,7,Modern Work,6,Microsoft 365,4,3189
FY22,FY22-Q2,12/1/2021 0:00,,"91,925",45,"91,880",99.95%,"20,893",22.74%,812,0.88%,"1,103",Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2976
FY22,FY22-Q2,12/1/2021 0:00,,"89,904",82,"89,822",99.91%,"19,889",22.14%,"2,026",2.26%,"2,885",Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2975
FY22,FY22-Q2,12/1/2021 0:00,,"90,045",69,"89,976",99.92%,"19,284",21.43%,"1,550",1.72%,"1,891",Azure Hybrid and Infrastructure,8,Infrastructure,5,Azure,1,2974
FY22,FY22-Q2,12/1/2021 0:00,,"35,758",28,"35,730",99.92%,"8,446",23.64%,497,1.39%,778,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2365
FY22,FY22-Q2,12/1/2021 0:00,,"8,548",3,"8,545",99.96%,"2,483",29.06%,296,3.46%,347,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2364
FY22,FY22-Q2,12/1/2021 0:00,,"37,458",80,"37,378",99.79%,"6,534",17.48%,491,1.31%,638,Hybrid Meetings,9,Modern Work,6,Microsoft 365,4,2363
